pubkey,votekey,dz_fee_lamports
6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,997662824
73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ,Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,254605616
7Hp1e6BrTBkbBN4wFiNmycPVPsjvyUUBL2tGhYEMT6gt,CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG,69653110
7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,ENVaKoD7ytn58xJ8s5htFfQ8hqQt1G9dcPUDqbSwVcgB,262273991
7Nn8qBJey7vXtVFMNBbbuN8UkujU8Y6nWzbHVGuf49yV,6SF5cmEXFFEmnFd5BwM4J6NkZhh3WfPkgmqdoAGjLLPX,249169803
7Nu9ckgtjobZ3MkbadGFKEvRymYuah9HmcxiUJKMM9NB,DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh,159348517
7PpXQgDb9eCHN1Uudgi77Wm89cRz4T85YgDw83qvaJXd,B8Jud6Mqv1FSKpjBM2hPBqoPhGMAciX2UqR9WcepDF7F,62293802
7VZM7YHcX73TpGoXDeBu61g4QKC86GwAEnew8dA7Y2xn,HMk1qny4fvMnajErxjXG5kT89JKV4cx1PKa9zhQBF9ib,187608158
7knvB4bbqHCKuNp3ef2hJWdwqoH6WAUi55NQt6LdRfkx,D4mLBafAJjpRABT5Tyj6UhuwJ8DLRk74JzyuTMUdU9Fz,76556065
7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A,so1arJJbp9sis5XpovLyjTZPk8bDjfs37Meghi5wXbu,151516434
7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,4CjWMmjGtRAZH6unY8EAzDYHWKUoPKqkZoFNrgxSGnyc,518959706
82vucuWCTTQEz6nYe3VetnL3pJYBrfDF2gDAjec9sPUy,DLKjd8DJc9NajCaHPeQL6BnhPi3a4BZm7zCdVF3MzDRZ,19045345
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,FpTQXdt7NjYsJWXaE9UgG2yPUshoFiW3nzXbXKz1CjKh,1339321060
8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,289626671
8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o,337033937
8Nvaxzif1NrdvxNkRetjT8xJvd33EHkKVrfL8EDkgaNy,2DNGsVZ9rg6RvT8bY4SGmGvyiVJ4xt9RL3NDd6uhfN46,256044270
8Rf7hLczBzGb71rmEjw3h9tTcxGijDiDHL651H9SfSFa,8cuBK2vJeqfukvSJQ2vaGDEBSnBoVD16L74SuHdnKjs8,9369252
8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ,DPsW8v7gkGUbPPRnraS5e163bDepd9tD537X9S231T2j,245709307
