"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"mds3Df1ieBonG2qS8ZoKTqshq5MgTUNfZgc78cjiCdq","ASifxiwxht8FvsiV3VcLngsCBMw4E6zw3QMWoJTbM4Uf",54032.691696707,10,0,18.744108601,0,0.827797886,0.0413898943
"rsbp8zMHbGCpLoRktmsjspYv77VcjxAzH1KxPCD9BiU","R4spmF6oFW6wMQHv9L3PCEKumkspN3nveQihWyDAdRy",53376.471492584,5,10,17.638490087,0.732807458,0.948343285,0.04741716425
"DEgenZMznWXvg5YHaZM75arVTauV453SeXX1UrxcGNup","DEgenL35vQWg3pE8rvY2vJ2SrmpMsXMecu4PmvJcCCJv",53111.790927294,5,10,18.123156388,0.195249864,0.912762731,0.04563813655
"65pHd5P2VrehonT1cdJ2JUnq5wi3WUgfL3A8RhYH7Kg7","HjiwKP8UAYigpUJyKeBEWfKWvaRgKw9fZQRcSLzdhP2w",52773.425429164,100,100,18.399000136,0.750010925,0.920259571,0.04601297855
"4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E","4EsJD6cpaae8rh27U9pHsfxAheCLQnze1bDvXZfpjcUv",52751.106716572,0,0,18.326544514,0.117903515,0.470580793,0.02352903965
"ELE1xBTfmHB7vuhSH94q23r6j3tuvTXYTqgm1u4uzMLk","ELE2xaC6i6pmeu7bfrYjBv4whBeTAbgwcg5hf2ythiBs",52410.423248778,5,10,17.813414514,0.234102234,0.943039215,0.04715196075
"Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh","Wh1teWn8PVimrF5FLJyrPzwzCFx5adGqjsWoTaLGsKK",52385.546180854,0,0,15.861161963,0,0.694157251,0.03470786255
"7mcgHPHLfdoVn1JV9pQp6y8dbx2QF4n1STRCyG9wJ9rV","5cXLZKeTuRm95ng96K2qCdxB2kSU1ajW291HmEkNpXkM",52382.603044137,0,6.98,17.889949481,0.068152455,0.448960409,0.02244802045
"BSNJGveGPVYzdt2bhTh3YfqbzWPH5Sq38zT1Br88Pn1N","FKU3YWq3AUuN2mJVR2pJgbsVQHdGeaK1Yj1iMBhJugd1",52010.437202162,0,0,18.496105278,0.255035809,0.776154701,0.03880773505
"TiMxX1yasS4CiGyRcnn7sy9T2fvaNdFpkf8tFDhhDkG","Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9",51612.740100869,0,8,17.815891519,0.164925256,0.914614979,0.04573074895
"Ettghfhr2kQerqAyGUuifFtBX17QecRe2gwpUZTAbZuw","Ay5AcULBRJznGEEaGm2mWziRbefETRjdfZ1kwsoXS9u",51312.65829817,5,10,16.210311139,0.166191849,0.76338926,0.038169463
"7cJB452VqXe5pM9f6YKcTziWmoHE9Tg4jNWTCpohFiAH","9Lp7PzvKVMhjqyQfJwxyha5P6thNWMmVDuVVyqqSaK7b",51264.692334185,0,10,17.808421939,0.073265602,0.433998137,0.02169990685
"gotasRuLTuJNZDtLHmaDJpEUjCWZqkHcuwbLhkgCwCX","Gotas1PRPrkqqSNm1ZKcn8Tpx9qL8krSQzTZ5DPKzkFX",51115.767793393,5,10,19.272295316,0.180808611,1.290669314,0.0645334657
"ChB6C6dmNujAi79XtQLPKLL5SWdNLMShA7KKnrMMFF52","kWEiSEQZMeLAbMUiz1njRTZEjuSpJDCgVynB6pJHpcr",50345.675548414,0,0,17.383177141,0.068373511,1.023261228,0.0511630614
